id,name,default_code,qty_available,list_price,categ_id,uom_id
17637,"Destornillador Craftsman bi-material Plano 5/16x6""",74072,0,21365.89,All / Ferretería / Herramientas de mano,Units
17638,"Destornillador Craftsman bi-material punta cuadrada 4""",74073,0,20081.74,All / Ferretería / Herramientas de mano,Units
44266,Destornillador Crique 12 Piezas,65848,0,40098.9,All,Units
140835,Destornillador Criquet Stanley Multi Punta 66-358,55993,0,64324.7,All,Units
42925,Destornillador De Aluminio 9 En SD-9814,57865,0,22600.57,All,Units
40798,Destornillador De Golpe,65338,0,17222.4,All,Units
192062,Destornillador Electricista Juego X5pzs  Bremen,76670,0,34746.28,All,Units
137602,Destornillador Felo        200    10 X 200,12163,0,64780.02,All,Units
137603,Destornillador Felo        200    4 X 100,12157,0,21896.89,All,Units
137604,Destornillador Felo        200    5 X 125,12158,0,24256.29,All,Units
137605,Destornillador Felo        200    5.5 X 125,12159,0,31913.99,All,Units
137606,Destornillador Felo        200    6.5 X 125,12160,0,32534.89,All,Units
137607,Destornillador Felo        200    6.5 X 150,12161,0,35763.53,All,Units
137608,Destornillador Felo        200    8.0 X 175,12162,0,45573.68,All,Units
137609,Destornillador Felo        200 2.5 X 75,12154,0,16267.45,All,Units
137610,Destornillador Felo        200 3.0 X 80,12155,0,18337.09,All,Units
137611,Destornillador Felo        200 3.5 X 100,12156,0,20696.49,All,Units
137612,Destornillador Felo        200 5.5 X 25,12164,0,21896.89,All,Units
137613,Destornillador Felo        200 6.5 X 25,12165,0,22724.74,All,Units
137614,Destornillador Felo        201 Poz 0 X 60,12166,0,19785.85,All,Units
137615,Destornillador Felo        201 Poz 1 X 80,12167,0,14653.95,All,Units
137616,Destornillador Felo        201 Poz 2 X 100,12169,0,34894.28,All,Units
137617,Destornillador Felo        201 Poz 2X25,12168,0,23966.54,All,Units
137618,Destornillador Felo        202 Phillips 0 X 60,12170,0,19785.85,All,Units
137619,Destornillador Felo        202 Phillips 1 X 80,12171,0,23635.39,All,Units
137620,Destornillador Felo        202 Phillips 2 X 100,12172,0,34894.28,All,Units
137621,Destornillador Felo        202 Phillips 3 X 150,12173,0,49050.69,All,Units
137622,Destornillador Felo        208 Tx 10 X 100,12178,0,34563.14,All,Units
137623,Destornillador Felo        208 Tx 6 X 60,12174,0,34025.03,All,Units
137624,Destornillador Felo        208 Tx 7 X 60,12175,0,32534.89,All,Units
137625,Destornillador Felo        208 Tx 8 X 60,12176,0,32534.89,All,Units
137626,Destornillador Felo        208 Tx 9 X 60,12177,0,32534.89,All,Units
137627,Destornillador Felo Antiestatico Standard 250-2.5X60,12211,0,28354.2,All,Units
137628,Destornillador Felo Antiestatico Standard 250-3X60,12213,0,29554.59,All,Units
137629,Destornillador Felo Cabo Azul Torx   808- 8X 60,12385,0,25415.29,All,Units
137630,Destornillador Felo Cabo Azul Torx   808-10X100,12386,0,25994.79,All,Units
137631,Destornillador Felo Cabo Azul Torx   808-15X100,12387,0,28354.2,All,Units
137632,Destornillador Felo Cabo Azul Torx   808-20X100,12388,0,28354.2,All,Units
137633,Destornillador Felo Cabo Azul Torx   808-25X100,12389,0,28354.2,All,Units
137634,Destornillador Felo Cabo Azul Torx   808-27X100,12390,0,28354.2,All,Units
137635,Destornillador Felo Cabo Azul Torx   808-30X115,12391,0,29554.59,All,Units
137636,Destornillador Felo Cabo Negro Y Rojo 500 10 X200,12304,0,89326.06,All,Units
137637,Destornillador Felo Cabo Negro Y Rojo 500 2.5X 75,12287,0,22435.0,All,Units
137638,Destornillador Felo Cabo Negro Y Rojo 500 4  X200,12291,0,43131.49,All,Units
137639,Destornillador Felo Cabo Negro Y Rojo 500 4  X300,12292,0,54431.78,All,Units
137640,Destornillador Felo Cabo Negro Y Rojo 500 5.5X150,12295,0,52610.49,All,Units
137641,Destornillador Felo Cabo Negro Y Rojo 500 5.5X200,12296,0,65649.28,All,Units
137642,Destornillador Felo Cabo Negro Y Rojo 500 5.5X300,12297,0,70988.97,All,Units
137643,Destornillador Felo Cabo Negro Y Rojo 500 6.5X200,12299,0,58529.68,All,Units
137644,Destornillador Felo Cabo Negro Y Rojo 500 6.5X500,12300,0,127780.15,All,Units
137645,Destornillador Felo Cabo Negro Y Rojo 500 8  X300,12303,0,90774.82,All,Units
137646,Destornillador Felo Cabo Negro Y Rojo 501 Poz 0X60,12305,0,28105.83,All,Units
137647,Destornillador Felo Cabo Negro Y Rojo 501 Poz 1X80,12308,0,37833.19,All,Units
137648,Destornillador Felo Cabo Negro Y Rojo 501Poz 1X25,12306,0,43752.39,All,Units
137649,Destornillador Felo Cabo Negro Y Rojo 501Poz 2X100,12309,0,49671.58,All,Units
137650,Destornillador Felo Cabo Negro Y Rojo 501Poz 2X200,12310,0,66270.18,All,Units
137651,Destornillador Felo Cabo Negro Y Rojo 501Poz 2X25,12307,0,43752.39,All,Units
137652,Destornillador Felo Cabo Negro Y Rojo 501Poz 3X150,12311,0,73348.37,All,Units
137653,Destornillador Felo Cabo Negro Y Rojo 502 Ph 1X200,12315,0,51782.63,All,Units
137654,Destornillador Felo Cabo Negro Y Rojo 502 Ph 1X25,12313,0,43752.39,All,Units
137655,Destornillador Felo Cabo Negro Y Rojo 502 Ph 2X150,12318,0,56170.28,All,Units
137656,Destornillador Felo Cabo Negro Y Rojo 502 Ph 2X200,12319,0,67718.92,All,Units
